Temperature,Top P,Success Count,Fail Count,Response
0.2,0.5,0,2,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gonvca pilosa (Presl) Scribn.

University of Michigan Herbarium

THE UNIVERSITY OF MICHIGAN
1817

MICH

1122841

copyright reserved cm

DEC 18 1975
1 122841"
0,0.3,0,3,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gonvca pilosa (Presl) Scribn.

University of Michigan Herbarium

1122841

THE UNIVERSITY OF MICHIGAN
1817

copyright reserved cm

DEC 18 1975
1 122841"
0.2,0.8,0,1,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gouvea pilosa (Presl) Scribn.

University of Michigan Herbarium
MICH
1122841

THE UNIVERSITY OF MICHIGAN
1817
copyright reserved cm
DEC 18 1975
1 122841"
1,0.3,0,1,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gonvca pilosa (Presl) Scribn.

University of Michigan Herbarium

1122841

THE UNIVERSITY OF MICHIGAN
1817

copyright reserved cm

DEC 18 1975
1 122841"
1,0.8,0,1,"RANCHO SANTA ANA BOTANIC GARDEN

PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall).
Porous soil.

Christopher Davidson 2060
29 April 1973

Gonvea pilosa (Presl) Scribn.

The University of Michigan

1817

MICH

1122841

DEC 18 1975

copyright reserved cm"
1,0.3,0,2,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gonvca pilosa (Presl) Scribn.

University of Michigan Herbarium

THE UNIVERSITY OF MICHIGAN
1817

MICH

1122841

copyright reserved cm

DEC 18 1975
1 122841"
0.1,0.3,0,2,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gonvca pilosa (Presl) Scribn.

University of Michigan Herbarium

1122841

THE UNIVERSITY OF MICHIGAN
1817

copyright reserved cm

DEC 18 1975
1 122841"
0.2,0.8,0,1,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gouvea pilosa (Presl) Scribn.

University of Michigan Herbarium

THE UNIVERSITY OF MICHIGAN
1817

MICH

1122841

copyright reserved cm

DEC 18 1975
1 122841"
1,0.001,0,1,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gonvca pilosa (Presl) Scribn.

University of Michigan Herbarium

1122841

THE UNIVERSITY OF MICHIGAN
1817

copyright reserved cm

DEC 18 1975
1 122841"
1,0.001,0,2,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

Christopher Davidson 2060 29 April 1973

Gonvca pilosa (Presl) Scribn.

University of Michigan Herbarium

THE UNIVERSITY OF MICHIGAN
1817

MICH

1122841

copyright reserved cm

DEC 18 1975
1 122841"
