Temperature,Top K,Top P,Success Count,Fail Count,Response
0.5,3,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distictis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distictis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
1,1,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distictis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distictis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.
"
1.5,3,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene

Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
1,1,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
1,3,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
0,40,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.
"
0,10,0.3,2,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
0.5,10,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Handwritten text is italicized.*"
0.5,1,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Handwritten text is italicized.*"
1.5,1,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
1.5,40,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
1,40,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                    29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
1,1,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                       29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Handwritten text is italicized.*"
0,1,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
1.5,40,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
1.5,40,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
0.5,10,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distictis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distictis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
0.5,10,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
1.5,1,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.
"
1.5,40,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
1.5,1,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
0,40,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Handwritten text is italicized.*"
0,10,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.
"
0,3,0.8,0,1,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distictis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Gouinia pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distictis spicata* (L.) Greene
*Gouinia pilosa* (Presl) Scribn."
0.5,1,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
0,40,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
0.5,40,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
1,3,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
0.5,1,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
0.5,3,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841

*Handwritten text is italicized.*"
1.5,1,0.3,2,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
0.5,1,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3–4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841

Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn."
1,10,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841
"
1,3,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.
"
1,3,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Handwritten text is italicized.*"
